,fileElements,fileSize,fileErrors
0,whatsapp.png,173 KB,No errors
1,tenor.gif,1.9 MB,No errors
2,jpeg-home.jpg,30 KB,No errors
3,file.pdf,46 KB,No errors
4,badezimmer.jpg,16.3 MB,Error
